KEYBOARD_TYPE: tablet
PRACTICE_WORDS_PER_INPUT: 2
WORD_ORDER: [falls, tin, sires, sicker, shier, coy, hailed, dipped, find, mans, core, bale, tales, dubbed, sue]
NUMBER_OF_TIMES_PLANE_BREACHED: [7, 1, 5, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1]
DISTANCE_TRAVELED_TOUCH_ONLY: [133.2817, 19.604256, 83.41084, 76.42784, 42.981636, 30.979286, 80.14445, 84.7309, 36.83442, 70.035614, 41.113926, 72.27918, 77.00865, 45.559605, 32.222862]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [133.2817, 19.604256, 83.41084, 76.42784, 42.981636, 30.979286, 80.14445, 84.7309, 36.83442, 70.035614, 41.113926, 72.27918, 77.00865, 45.559605, 32.222862]
TIME_DURATION_TOUCH_ONLY: [1.6590469, 0.7148167, 1.9800407, 2.2418487, 1.8894129, 1.1350334, 2.026768, 3.1922352, 1.2663556, 1.5876393, 1.3571261, 1.442996, 1.8180438, 1.6830207, 0.89079714]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [1.6590469, 0.7148167, 1.9800407, 2.2418487, 1.8894129, 1.1350334, 2.026768, 3.1922352, 1.2663556, 1.5876393, 1.3571261, 1.442996, 1.8180438, 1.6830207, 0.89079714]
AVERAGE_PIXEL_VELOCITY: [38.659203, 27.517189, 22.62745, 34.01144, 22.744379, 27.109034, 39.545918, 26.468592, 29.232273, 44.19746, 30.27272, 49.92402, 42.30482, 27.359364, 36.31292]
REACTION_TIME_FIRST_PRESSED: [5.308469, 1.1230369, 5.4947767, 1.1566969, 1.0716202, 1.1056713, 1.0545739, 1.2247438, 1.05464, 1.2077745, 0.98646444, 1.1394798, 1.0545821, 1.2587512, 1.0886078]
REACTION_TIME_FIRST_TOUCH: [1.1235402, 1.1230369, 1.1226704, 1.1566969, 1.0716202, 1.1056713, 1.0545739, 1.2247438, 1.05464, 1.2077745, 0.98646444, 1.1394798, 1.0545821, 1.2587512, 1.0886078]
AVERAGE_REACTION_TIME_TO_ERRORS: [1.9902817, 0.0, 1.8883078, 0.0, 0.0, 0.0, 0.0, 1.1226078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TEXT_ENTRY_RATE_WPM: [28.932276, 33.575043, 24.241926, 26.763626, 25.404716, 21.144754, 29.603785, 18.795607, 28.428034, 22.675175, 26.526646, 24.948095, 26.402002, 35.65019, 26.942163]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [28.932276, 33.575043, 24.241926, 26.763626, 25.404716, 21.144754, 29.603785, 18.795607, 28.428034, 22.675175, 26.526646, 24.948095, 26.402002, 35.65019, 26.942163]
